rotten_tomatoes_link;movie_title;content_rating;genre;directors;original_release_date;streaming_release_date;runtime;production_company;audience_rating;audience_count
m/10010782-american_affair;An American Affair;R;DRAMA;William Olsson, William Sten Olsson;2/27/2009;08/10/2016;93;Screen Media Films;41;1722
m/10010785-grace;Grace;R;DRAMA;Paul Solet;8/14/2009;3/26/2017;94;Anchor Bay Entertainment;31;10269
m/10010787-endgame;Endgame;PG-13;DRAMA;Pete Travis;11/06/2009;3/19/2015;109;Monterey Media;57;662
m/10010789-red_baron;The Red Baron (Der rote Baron);PG-13;ACTION & ADVENTURE;Nikolai Muellerschoen;3/31/2008;8/20/2014;106;Monterey Media;43;11070
m/10010919-objective;The Objective;NR;ACTION & ADVENTURE;Daniel Myrick;4/24/2008;4/28/2016;90;IFC Films;32;3690
m/10010940-happy_tears;Happy Tears;R;COMEDY;Mitchell Lichtenstein;2/19/2010;08/10/2016;96;Roadside Attractions;21;1551
m/10010944-missing_person;The Missing Person;NR;COMEDY;Noah Buschel;11/20/2009;08/10/2016;95;Strand Releasing;44;6767
m/10010957-polanski_unauthorized;Polanski (Polanski Unauthorized);NR;DRAMA;Damian Chapa;01/09/2009;12/12/2016;89;Walking Shadows;38;231
m/10010972-mammoth;Mammoth (Mammut);R;DRAMA;Lukas Moodysson;11/20/2009;11/18/2016;125;IFC Films;63;7007
m/10011016-messenger;The Messenger;R;DRAMA;Oren Moverman;11/13/2009;03/08/2017;112;Oscilloscope Pictures;75;21592
m/10011050-lake_mungo;Lake Mungo;R;HORROR;Joel Anderson;02/07/2009;08/10/2016;89;After Dark Films;62;2856
m/10011079-country_teacher;VenkovskÃ½ Ucitel (The Country Teacher);NR;DRAMA;Bohdan SlÃ¡ma;3/20/2008;9/22/2016;115;Film Movement;72;1723
m/1001115-apartment;The Apartment;NR;COMEDY;Billy Wilder;6/15/1960;3/29/2016;125;United Artists;94;38188
m/10011154-golden_boys;Chatham (The Golden Boys);PG;COMEDY;Daniel Adams;4/17/2009;11/18/2016;97;Roadside Attractions;22;801
m/1001117-ape;The Ape;NR;DRAMA;William Nigh;9/30/1940;08/07/2015;62;Monogram;12;510
m/10011235-fame;Fame;PG;DRAMA;Kevin Tancharoen;9/25/2009;2/25/2016;107;MGM;36;194974
m/10011284-skin;Skin;PG-13;DRAMA;Anthony Fabian;10/30/2009;3/22/2016;107;Elysian Films;79;2118
m/10011303-helen;Helen;PG;DRAMA;Christine Molloy, Joe Lawlor (II);05/01/2008;9/30/2016;79;New Wave Films;36;172
m/10011304-thirst;Bakjwi (Thirst);R;DRAMA;Park Chan-wook;4/30/2009;4/19/2016;133;Focus Features;75;19477
m/10011335-vengeance;Vengeance (Fuk sau);R;ACTION & ADVENTURE;Johnnie To;08/04/2010;02/07/2017;108;IFC Films;60;1881
m/1001138-april_fools_day;April Fool's Day;R;HORROR;Fred Walton;3/27/1986;08/01/2013;89;Paramount Pictures;47;13437
m/10011388-blood_the_last_vampire;Blood: The Last Vampire;R;ACTION & ADVENTURE;Chris Nahon;07/10/2009;02/12/2014;89;Samuel Goldwyn Films;33;94562
m/10011435-shrink;Shrink;R;COMEDY;Jonas Pate;7/24/2009;05/10/2016;104;Roadside Attractions;50;42784
m/10011457-ong_bak_2_2009;Ong Bak 2;R;ACTION & ADVENTURE;Panna Rittikrai, Prachya Pinkaew, Tony Jaa;10/23/2009;08/10/2016;97;Magnolia Pictures;53;21197
m/10011494-last_ride;Last Ride;PG-13;DRAMA;Glendyn Ivin;6/29/2012;08/10/2016;100;Music Box Films;65;3560
m/10011582-TRON_legacy;Tron Legacy;PG;ACTION & ADVENTURE;Joseph Kosinski;12/17/2010;11/23/2015;125;Walt Disney Pictures;63;171610
m/10011647-canyon;The Canyon;R;DRAMA;Richard Harrah;10/23/2009;11/27/2013;102;Magnolia Pictures;32;613
m/10011699-leslie_my_name_is_evil;Manson, My Name Is Evil;R;COMEDY;Reginald Harkema;9/14/2009;01/06/2017;85;E1 Entertainment;27;2341
m/10011721-broken_hill;Broken Hill;PG;DRAMA;Dagen Merrill;09/11/2009;11/22/2016;102;Audience Alliance;61;310
m/10011735-beautiful_life;A Beautiful Life;NR;DRAMA;Alejandro Chomski;10/02/2009;5/17/2019;81;New Films International;24;147
m/10011736-suck;Suck;R;COMEDY;Rob Stefaniuk;08/02/2010;08/10/2016;91;Independent Films;53;1880
m/10011774-chloe;Chloe;R;DRAMA;Atom Egoyan;3/26/2010;4/16/2012;96;Sony Pictures Classics;39;30602
m/1001180-armed_and_dangerous;Armed and Dangerous;PG-13;COMEDY;Mark L. Lester;8/15/1986;4/16/2012;88;Sony Pictures Home Entertainment;39;9340
m/10011815-hole;The Hole;PG-13;SCIENCE FICTION & FANTASY;Joe Dante;9/28/2012;08/08/2016;92;Hole LLC.;46;14727
m/10011846-nobodys_perfect;NoBody's Perfect;NR;DRAMA;Niko von Glasow;09/08/2008;09/01/2016;84;Lorber Films;87;85
m/10011854-good_soldier;The Good Soldier;NR;DRAMA;Michael Uys, Lexy Lovell;10/09/2009;12/09/2016;79;Artistic License;80;130
m/10011857-high_life;High Life;R;COMEDY;Gary Yates;9/15/2009;12/15/2016;80;Union Pictures;43;631
m/1001193-around_the_world_in_80_days;Around the World in 80 Days;G;ACTION & ADVENTURE;Michael Anderson;10/17/1956;3/29/2017;170;United Artists;57;33440
m/10011943-fall;The Fall;R;DRAMA;John Krueger;10/30/2009;9/22/2016;115;Dangerous Wounded Animals;;
m/10011944-good_heart;The Good Heart;R;DRAMA;Dagur KÃ¡ri;4/30/2010;01/08/2017;98;Magnolia Pictures;58;1590
m/10011946-wonderful_world;Wonderful World;R;DRAMA;Joshua Goldin;01/08/2010;1/15/2016;95;Magnolia Pictures;33;1741
m/10011950-three_blind_mice;Three Blind Mice;PG;COMEDY;Matthew Newton;;04/10/2017;94;IFC Films;50;229
m/10011984-last_song;The Last Song;PG;DRAMA;Julie Ann Robinson;3/31/2010;08/10/2016;108;Walt Disney Studios;66;160802
m/10012039-lottery_ticket;Lottery Ticket;PG-13;COMEDY;Erik White;8/20/2010;4/16/2012;95;Warner Bros. Pictures;44;29996
m/10012042-going_the_distance;Going the Distance;R;COMEDY;Nanette Burstein;09/03/2010;09/01/2012;98;New Line Cinema;52;57438
m/10012044-life_as_we_know_it;Life as We Know It;PG-13;COMEDY;Gary Berlanti, Greg Berlanti;10/08/2010;06/01/2013;113;Warner Bros. Pictures;61;82457
m/10012050-final;The Final;R;DRAMA;Joey Stewart;1/29/2010;10/30/2016;;After Dark Films;32;1088
m/10012051-frozen;Frozen;R;DRAMA;Adam Green;02/05/2010;11/30/2016;93;Anchor Bay;46;20649
m/10012063-ghost_writer;The Ghost Writer;PG-13;DRAMA;HervÃ© de Luze, Roman Polanski;2/19/2010;8/26/2016;129;Summit Entertainment;70;60373
m/10012068-repo_men;Repo Men;R;ACTION & ADVENTURE;Miguel Sapochnik;3/19/2010;02/12/2014;111;Universal Studios;41;100490
m/10012104-7_days;7 Days (Les 7 jours du talion);R;HORROR;Daniel Grou;02/05/2010;3/29/2017;105;Sundance Selects;68;1474
m/10012114-daddy_longlegs;Daddy Longlegs;NR;COMEDY;Benny Safdie, Josh Safdie;5/14/2010;;;IFC Films;52;542
m/10012133-veer;Veer;NR;DRAMA;Anil Sharma;1/22/2010;03/07/2017;156;Eros Entertainment;47;1151
m/10012136-winters_bone;Winter's Bone;R;DRAMA;Debra Granik;06/11/2010;12/19/2015;99;Roadside Attractions;76;51756
m/10012141-kids_are_all_right;The Kids Are All Right;R;COMEDY;Lisa Cholodenko;07/09/2010;12/01/2015;104;Focus Features;74;63588
m/10012150-high_school;High School;R;COMEDY;John Stalberg, Jr.;06/01/2012;03/02/2017;99;Anchor Bay Entertainment;48;8211
m/10012207-stolen;Stolen;R;DRAMA;Anders Anderson;03/05/2010;4/28/2016;97;IFC Films;39;2695
m/10012232-killing_jar;The Killing Jar;R;DRAMA;Mark Young;3/19/2010;5/22/2017;90;Image Entertianment;36;589
m/10012254-la_mission;La MISSION;R;DRAMA;Peter Bratt;04/09/2010;3/23/2017;117;Screen Media Ventures;72;5867
m/10012256-predators;Predators;R;ACTION & ADVENTURE;NimrÃ³d Antal;07/09/2010;11/25/2015;107;20th Century Fox;52;159887
m/10012288-wild_hunt;The Wild Hunt;NR;DRAMA;Alexandre Franchi;9/17/2010;5/18/2012;96;Hannover House;74;711
m/1001240-arthur;Arthur;PG;COMEDY;Steve Gordon;7/17/1981;8/15/2008;97;Orion Pictures Corporation;77;33549
m/1001280-assault_on_precinct_13;Assault on Precinct 13;R;ACTION & ADVENTURE;John Carpenter;11/05/1976;8/16/2016;91;Turtle Releasing;80;24667
m/1001294-asylum;Asylum;PG;HORROR;Peter Robinson;11/17/1972;09/06/2016;88;Cinerama Releasing Corporation;48;303
m/1001323-attack_of_the_50_foot_woman;Attack of the 50 Foot Woman;PG;SCIENCE FICTION & FANTASY;Nathan Juran;01/01/1958;11/01/2015;66;Allied Artists Pictures;20;8585
m/1001406-avenging_angel;Avenging Angel;R;ACTION & ADVENTURE;Robert Vincent O'Neil;;01/06/2015;93;Starmaker Entertainment;25;1544
m/1001425-aviator;The Aviator;PG;ACTION & ADVENTURE;George T. Miller;03/01/1985;1/17/2017;98;Twentieth Century Fox Home Entertainment;41;239
m/1001428-awakening;The Awakening;R;HORROR;Mike Newell;10/01/1980;01/01/2008;102;WARNER BROTHERS PICTURES;22;421
m/1001488-babes_in_toyland;Babes in Toyland;G;SCIENCE FICTION & FANTASY;Jack Donohue;12/14/1961;03/02/2016;106;Buena Vista;59;10335
m/1001553-bad_company;Bad Company;PG;ACTION & ADVENTURE;Robert Benton;10/08/1972;08/01/2013;93;Paramount Pictures;71;2298
m/1001567-bad_news_bears;The Bad News Bears;PG;COMEDY;Michael Ritchie;04/07/1976;08/01/2013;102;Paramount Pictures;80;40382
m/1001572-bad_seed;The Bad Seed;NR;DRAMA;Mervyn LeRoy;09/12/1956;4/19/2016;129;WARNER BROTHERS PICTURES;83;8639
m/1001634-bang_the_drum_slowly;Bang The Drum Slowly;PG;COMEDY;John D. Hancock, John Hancock;01/01/1973;8/24/2018;96;Paramount Pictures;62;3796
m/1001816-battleground;Battleground;NR;ACTION & ADVENTURE;William Wellman;11/09/1949;8/18/2008;118;MGM;82;2737
m/1001902-beauty_and_the_beast;Beauty and The Beast (La Belle et la bÃªte);NR;DRAMA;Jean Cocteau;01/01/1946;1/14/2017;95;Lopert Pictures;90;22615
m/1001994-belles_of_st_trinians;The Belles of St. Trinian's;NR;ACTION & ADVENTURE;Frank Launder;;04/07/2020;91;Associated Artists;70;1293
m/1001_grams;1001 Grams;NR;DRAMA;Bent Hamer;05/08/2015;10/06/2016;93;Kino Lorber;48;267
m/1002178-best_of_times;The Best of Times;PG-13;COMEDY;Roger Spottiswoode;1/31/1986;03/10/2017;104;Sultan Entertainment;43;6519
m/1002205-betrayed;Betrayed;R;ACTION & ADVENTURE;Betsy Blair, Debra Winger, John Heard, John Mahoney, Ted Levine, Tom Berenger, Costa-Gavras;8/26/1988;11/30/2016;127;MGM Home Entertainment;52;739
m/1002306-big_brawl;The Big Brawl (Battle Creek Brawl);R;ACTION & ADVENTURE;Robert Clouse;09/10/1980;07/06/2016;95;Golden Harvest Company;44;5475
m/1002310-big_business;Big Business;PG;COMEDY;Jim Abrahams;06/10/1988;03/02/2016;97;;69;20086
m/1002332-big_heat;The Big Heat;PG;DRAMA;Fritz Lang;;4/25/2014;90;Columbia Pictures;90;5964
m/1002352-big_sleep;The Big Sleep;PG;DRAMA;Howard Hawks;8/31/1946;09/11/2015;114;Warner Bros. Pictures;91;33511
m/1002353-big_sleep;The Big Sleep;R;DRAMA;Michael Winner;;03/10/2017;99;United Artists;26;1464
m/1002407-billy_budd;Billy Budd;NR;ACTION & ADVENTURE;Peter Ustinov;11/12/1962;5/22/2017;123;Allied Artists Pictures;86;7
m/1002448-birds;The Birds;PG-13;HORROR;Alfred Hitchcock;3/28/1963;10/01/2014;119;Universal Pictures;83;176580
m/1002484-black_christmas;Black Christmas;R;HORROR;Bob Clark;12/20/1974;12/13/2016;98;Warner Bros. Pictures;75;23059
m/1002497-black_hole;The Black Hole;PG;ACTION & ADVENTURE;Gary Nelson;01/01/1979;05/10/2016;97;Walt Disney Productions;45;9807
m/1002511-black_pirate;The Black Pirate;NR;ACTION & ADVENTURE;Albert Parker;03/08/1926;08/11/2016;85;United Artists;68;1416
m/1002512-black_rain;Black Rain;R;ACTION & ADVENTURE;Ridley Scott;;08/01/2013;125;Paramount Home Video;55;27792
m/1002526-black_sunday;Black Sunday;R;ACTION & ADVENTURE;John Frankenheimer;03/11/1977;08/10/2016;143;Anchor Bay Entertainment;64;3906
m/1002531-black_widow;Black Widow;R;DRAMA;Bob Rafelson;02/06/1987;08/10/2016;102;Twentieth Century Fox Home Entertainment;40;3803
m/1002540-blackmail;Blackmail;NR;DRAMA;Alfred Hitchcock;10/06/1929;11/30/2016;86;Scott Entertainment;65;4731
m/1002571-blind_date;Blind Date;PG-13;COMEDY;Blake Edwards;3/27/1987;4/16/2012;93;Tri-Star Pictures;42;18540
m/1002598-blood_and_sand;Blood and Sand;NR;DRAMA;Rouben Mamoulian;5/22/1941;04/06/2014;120;20th Century Fox;67;636
m/1002611-blood_feast;Blood Feast;NR;HORROR;Herschell Gordon Lewis;01/01/1963;8/25/2018;58;Box Office Spectaculars;44;6249
m/1002681-blue_angel;Der Blaue Engel (The Blue Angel);NR;DRAMA;Josef von Sternberg;04/01/1930;02/06/2017;94;Universum Film Gmbh;87;5696
m/1002732-bluebeard;Bluebeard;G;DRAMA;Edgar G. Ulmer;11/11/1944;06/07/2017;73;PRC Pictures Inc.;38;800
m/1002907-border;The Border;R;ACTION & ADVENTURE;Tony Richardson;1/29/1982;08/10/2016;107;Universal Pictures;53;3285
m/1002930-born_yesterday;Born Yesterday;NR;COMEDY;George Cukor;12/26/1950;01/01/2013;103;Columbia Pictures;86;4780
m/1002939-boston_strangler;The Boston Strangler;R;DRAMA;Richard Fleischer;10/16/1968;9/18/2012;116;20th Century Fox Film Corp.;78;58
m/1002947-bounty;The Bounty;PG;ACTION & ADVENTURE;Roger Donaldson;05/04/1984;8/29/2016;132;MGM;72;10345
m/1002993-boys_from_brazil;The Boys from Brazil;R;ACTION & ADVENTURE;Franklin J. Schaffner;10/05/1978;08/10/2016;123;20th Century Fox Film Corporation;66;7692
m/1003017-brainstorm;Brainstorm;PG;SCIENCE FICTION & FANTASY;Douglas Trumbull;9/30/1983;6/22/2009;106;MGM Home Entertainment;56;6880
m/1003060-breakout;Breakout;PG;ACTION & ADVENTURE;Tom Gries;;4/16/2012;96;Sony Pictures Entertainment;41;1949
m/1003075-brewsters_millions;Brewster's Millions;PG;COMEDY;Walter Hill;5/22/1985;05/08/2015;97;MCA Universal Home Video;55;38516
m/1003076-brians_song;Brian's Song;G;DRAMA;Buzz Kulik;05/01/1970;4/27/2013;74;Sony Pictures Home Entertainment;82;9103
m/1003094-brief_encounter;Brief Encounter;NR;DRAMA;David Lean;11/26/1945;11/18/2016;86;Universal Pictures;91;11170
m/1003119-broken_arrow;Broken Arrow;G;ACTION & ADVENTURE;Delmer Daves;7/21/1950;11/25/2015;93;Twentieth Century Fox Home Entertainment;70;1025
m/1003120-broken_blossoms;Broken Blossoms;NR;DRAMA;D.W. Griffith;5/13/1919;08/11/2016;87;Kino on Video;71;3802
m/1003136-brotherhood;The Brotherhood;PG-13;ACTION & ADVENTURE;Martin Ritt;01/01/1968;3/22/2016;98;Paramount Pictures;25;1013
m/1003217-bug;Bug;PG;HORROR;Jeannot Szwarc;06/01/1975;06/06/2014;100;Paramount Pictures;25;2000
m/1003276-burglar;Burglar;R;COMEDY;Hugh Wilson;3/20/1987;01/02/2009;102;Warner Home Video;39;6731
m/1003296-bus_stop;Bus Stop;G;COMEDY;Joshua Logan;01/01/1956;11/05/2015;96;20th Century Fox Film Corporation;62;7934
m/1003318-butch_cassidy_and_the_sundance_kid;Butch Cassidy and the Sundance Kid;PG;ACTION & ADVENTURE;George Roy Hill;10/24/1969;11/25/2015;110;20th Century Fox;92;71183
m/1003339-bye_bye_birdie;Bye Bye Birdie;G;COMEDY;George Sidney;04/04/1963;4/16/2012;112;Columbia Pictures;66;10175
m/1003399-calamity_jane;Calamity Jane;G;COMEDY;David Butler;11/04/1953;10/23/2012;101;WARNER BROTHERS PICTURES;87;20693
m/1003436-camelot;Camelot;G;ACTION & ADVENTURE;Joshua Logan, Moss Hart;10/25/1967;4/19/2016;179;Warner Home Video;69;8354
m/1003441-camille;Camille;NR;DRAMA;George Cukor;01/01/1936;10/11/2016;108;MGM Home Entertainment;83;4354
m/1003492-cape_fear;Cape Fear;NR;DRAMA;J. Lee Thompson;4/18/1962;8/21/2015;105;Universal International Pictur;86;17735
m/1003499-captain_blood;Captain Blood;NR;ACTION & ADVENTURE;Michael Curtiz;12/28/1935;01/01/2008;119;Twentieth Century Fox Home Entertainment;89;8194
m/1003531-captains_courageous;Captains Courageous;PG;ACTION & ADVENTURE;Victor Fleming;6/25/1937;11/21/2016;117;MGM Home Entertainment;89;3811
m/1003612-carnival_of_souls;Carnival of Souls;R;COMEDY;Herk Harvey;9/26/1962;10/13/2012;80;Herts-Lion International Corp.;73;9478
m/1003617-carny;Carny;R;DRAMA;Robert Kaylor;6/13/1980;1/25/2017;107;United Artists;52;712
m/1003625-carrie;Carrie;R;HORROR;Brian DePalma;11/16/1976;8/27/2015;98;United Artists;77;353052
m/1003707-casablanca;Casablanca;PG;DRAMA;Michael Curtiz;11/26/1942;8/15/2008;102;Warner Bros. Pictures;95;357518
m/1003722-casino_royale;Casino Royale;G;ACTION & ADVENTURE;Richard Talmadge, Kenneth Hughes, John Huston, Joseph McGrath, Robert Parrish, Val Guest, Ken Hughes;4/27/1967;03/08/2016;131;Columbia Pictures;34;33192
m/1003747-cat_and_the_canary;The Cat and the Canary;NR;HORROR;Paul Leni;09/09/1927;02/08/2017;75;Universal Pictures;74;1155
m/1003755-cat_on_a_hot_tin_roof;Cat on a Hot Tin Roof;PG;DRAMA;Richard Brooks;9/20/1958;;;MGM Home Entertainment;92;31748
m/1003757-cat_people;Cat People;R;DRAMA;Jacques Tourneur;12/06/1942;11/17/2016;73;RKO Pictures;73;7786
m/1003758-cat_people;Cat People;R;DRAMA;Paul Schrader;04/02/1982;09/11/2015;118;Universal Pictures;46;10352
m/1003780-caught;Caught;NR;DRAMA;Max OphÃ¼ls;01/01/1949;07/08/2014;88;MGM;78;515
m/1003854-champ;The Champ;PG;DRAMA;Franco Zeffirelli;3/20/1979;04/09/2016;122;MGM Home Entertainment;82;7711
m/1003857-champion;Champion;NR;DRAMA;Mark Robson;01/01/1949;08/02/2013;99;United Artists;74;734
m/1003883-charade;Charade;G;COMEDY;Stanley Donen;12/05/1963;05/08/2015;114;Madacy Entertainment;92;42886
m/1003957-chase;The Chase;NR;DRAMA;Arthur Penn;2/17/1966;11/01/2012;135;Columbia Pictures;74;2775
m/1003972-checking_out;Checking Out;R;COMEDY;David Leland;4/21/1989;5/22/2017;95;HandMade Films;18;129
m/1004047-children_of_the_corn;Children of the Corn;R;HORROR;Fritz Kiersch;01/01/1984;11/01/2016;93;New World Pictures;40;84960
m/1004110-chosen;The Chosen;PG;DRAMA;Jeremy Kagan;08/01/1981;10/20/2019;108;Westchester Films;79;895
m/1004125-christmas_carol;A Christmas Carol;G;DRAMA;Edwin L. Marin;12/16/1938;12/19/2008;69;MGM;74;56572
m/1004141-christmas_in_connecticut;Christmas in Connecticut;G;COMEDY;Peter Godfrey;01/01/1945;11/18/2016;101;Warner Bros. Pictures;75;3731
m/1004151-christmas_story;A Christmas Story;PG;COMEDY;Bob Clark;11/18/1983;7/24/2014;93;MGM;88;285828
m/1004177-cimarron;Cimarron;NR;DRAMA;Wesley Ruggles;1/26/1931;01/08/2017;131;MGM Home Entertainment;25;1514
m/1004330-cleopatra;Cleopatra;G;DRAMA;Joseph L. Mankiewicz;06/12/1963;9/18/2012;243;20th Century Fox;69;20541
m/1004463-college;College;NR;COMEDY;James W. Horne;09/10/1927;07/01/2016;65;United Artists;73;2356
m/1004485-colors;Colors;R;ACTION & ADVENTURE;Dennis Hopper;4/15/1988;9/20/2015;120;Orion Home Video;72;28445
m/1004502-coma;Coma;PG;ACTION & ADVENTURE;Michael Crichton;01/06/1978;11/27/2013;113;WARNER BROTHERS PICTURES;66;7692
m/1004567-commando;Commando;R;ACTION & ADVENTURE;Mark L. Lester;10/04/1985;11/25/2015;90;20th Century Fox;67;138190
m/1004703-convoy;Convoy;PG;ACTION & ADVENTURE;Sam Peckinpah;6/28/1978;11/30/2016;110;Lionsgate;73;9476
m/1004790-countdown;Countdown;NR;ACTION & ADVENTURE;Robert Altman;02/01/1968;12/03/2013;101;Unknown;27;252
m/1004798-country_girl;The Country Girl;NR;DRAMA;George Seaton;12/15/1954;08/03/2016;104;Paramount Pictures;77;3106
m/1004832-cover_girl;Cover Girl;NR;COMEDY;Charles Vidor;3/30/1944;4/16/2012;107;Sony Pictures Home Entertainment;70;3774
m/1004906-creature_from_the_black_lagoon;Creature from the Black Lagoon;G;HORROR;Jack Arnold;03/05/1954;09/11/2015;79;Universal Pictures;73;23626
m/1004995-crossroads;Crossroads;R;DRAMA;Walter Hill;3/14/1986;4/16/2012;98;Sony Pictures Home Entertainment;82;10497
m/1005090-cutting_class;Cutting Class;R;COMEDY;Rospo Pallenberg;07/01/1989;09/01/2019;90;FEARnet;22;3807
m/1005152-damn_yankees;Damn Yankees;NR;COMEDY;George Abbott, Stanley Donen;9/26/1958;5/31/2019;110;Warner Home Video;69;2832
m/1005194-dangerous;Dangerous;G;DRAMA;Alfred E. Green;01/01/1935;4/16/2012;78;MGM Home Entertainment;61;694
m/1005199-dangerous_liaisons;Dangerous Liaisons;R;DRAMA;Stephen Frears;01/01/1988;05/01/2008;120;Warner Home Video;83;46589
m/1005242-dark_mirror;The Dark Mirror;NR;DRAMA;Robert Siodmak;10/18/1946;03/10/2017;85;Universal;56;318
m/1005279-darling;Darling;NR;COMEDY;John Schlesinger;01/01/1965;09/02/2014;128;Lionsgate;71;2184
m/1005360-day_of_the_dead;Day of the Dead;R;HORROR;George A. Romero;07/03/1985;6/18/2016;102;United Film Distribution Compa;75;64544
m/1005371-day_the_earth_stood_still;The Day the Earth Stood Still;G;DRAMA;Robert Wise;01/01/1951;9/18/2012;92;20th Century Fox;87;34260
m/1005381-days_of_wine_and_roses;Days of Wine and Roses;NR;DRAMA;Blake Edwards;12/26/1962;11/27/2013;117;WARNER BROTHERS PICTURES;88;2553
m/1005399-dead_heat;Dead Heat;R;ACTION & ADVENTURE;Mark Goldblatt;05/06/1988;08/10/2016;88;LionsGate Entertainment;49;6206
m/1005412-dead_reckoning;Dead Reckoning;NR;DRAMA;John Cromwell;01/01/1947;4/16/2012;100;Sony Pictures Home Entertainment;66;2006
m/1005512-death_in_venice;Death in Venice;PG;DRAMA;Luchino Visconti;03/01/1971;01/01/2008;130;WARNER BROTHERS PICTURES;81;6409
m/1005521-death_of_a_salesman;Death of a Salesman;PG;DRAMA;Volker SchlÃ¶ndorff, V. SchlÃ¶ndorff;9/15/1985;11/15/2016;135;Anchor Bay Entertainment;75;4590
m/1005656-demons;DÃ¨moni (Demons);R;HORROR;Lamberto Bava;10/04/1985;08/10/2016;90;Ascot Films;65;10395
m/1005724-desperate_hours;The Desperate Hours;NR;DRAMA;William Wyler;01/01/1955;01/01/2017;112;Paramount Pictures;79;2792
m/1005762-devil_doll;Devil Doll;NR;HORROR;Tod Browning;01/01/1964;10/21/2019;80;MGM Home Entertainment;28;536
m/1005865-dillinger;Dillinger;R;ACTION & ADVENTURE;John Milius;7/20/1973;01/09/2017;107;American International Pictures;73;2526
m/1005875-dinner_at_eight;Dinner at Eight;NR;COMEDY;George Cukor;8/23/1933;01/01/2009;113;WARNER BROTHERS PICTURES;74;2830
m/1005967-distant_thunder;Distant Thunder;R;DRAMA;Rick Rosenthal;11/11/1988;08/10/2016;114;Paramount Home Video;45;345
m/1006037-doctor_zhivago;Doctor Zhivago;PG-13;DRAMA;David Lean;12/22/1965;5/19/2016;197;MGM;88;45777
m/1006042-dodge_city;Dodge City;NR;WESTERN;Michael Curtiz;04/08/1939;4/16/2012;104;WARNER BROTHERS PICTURES;74;2620
m/1006068-dolls;Dolls;R;HORROR;Stuart Gordon;03/01/1987;11/30/2016;77;Empire Pictures;51;8252
m/1006207-dr_jekyll_and_mr_hyde;Dr. Jekyll and Mr. Hyde;NR;DRAMA;Rouben Mamoulian;12/31/1931;1/30/2016;97;Paramount Pictures;80;5650
m/1006223-how_the_grinch_stole_christmas;How the Grinch Stole Christmas;NR;COMEDY;Chuck Jones, Ben Washam;06/01/1967;9/24/2018;;Warner Home Video;98;93
m/1006234-dracula;Dracula;NR;HORROR;Tod Browning;01/01/1931;02/12/2014;75;Universal Pictures;81;44775
m/1006235-dracula;Dracula;R;HORROR;Dan Curtis;02/08/1973;7/23/2016;97;MPI Home Video;43;1284
m/1006236-dracula;Dracula;R;DRAMA;John Badham;7/20/1979;02/12/2014;109;Universal Studios;58;9776
m/1006250-dragnet;Dragnet;PG-13;ACTION & ADVENTURE;Tom Mankiewicz;;02/10/2016;106;MCA Universal Home Video;41;35175
m/1006287-dream_team;The Dream Team;PG-13;COMEDY;Howard Zieff;04/07/1989;1/24/2016;113;MCA Universal Home Video;61;8275
m/1006299-dressed_to_kill;Dressed to Kill;R;DRAMA;Brian DePalma;01/01/1980;11/01/2016;105;MGM;74;10587
m/1006364-dune;Dune;PG-13;SCIENCE FICTION & FANTASY;David Lynch;12/14/1984;10/01/2014;137;MCA Universal Home Video;66;70912
m/1006392-eagle_has_landed;The Eagle Has Landed;PG;ACTION & ADVENTURE;John Sturges;;03/07/2017;123;Columbia Pictures;67;7558
m/1006416-east_of_eden;East of Eden;PG;DRAMA;Elia Kazan;04/10/1955;12/31/2007;115;Warner Bros. Pictures;90;23523
m/1006425-easy_money;Easy Money;R;ACTION & ADVENTURE;James Signorelli;8/19/1983;11/01/2016;95;Vestron Video;58;5634
m/1006438-eaten_alive;Eaten Alive;R;HORROR;Tobe Hooper;6/30/1977;1/25/2017;90;Virgo International;30;3386
m/1006476-oedipus_rex;Edipo re (Oedipus Rex);NR;DRAMA;Pier Paolo Pasolini;09/07/1967;10/11/2016;110;Water Bearer Films;77;1873
m/1006527-elephant_man;The Elephant Man;PG;DRAMA;David Lynch;10/03/1980;08/01/2013;125;Paramount;93;64544
m/1006646-enforcer;The Enforcer;R;ACTION & ADVENTURE;James Fargo, Allen E. Smith;01/01/1976;5/23/2016;96;Warner Bros. Pictures;59;16007
m/1006648-enforcer;The Enforcer;NR;DRAMA;Raoul Walsh, Bretaigne Windust;2/24/1951;3/23/2017;87;Republic Pictures Home Video;70;1293
m/1006717-escape_from_new_york;Escape from New York;R;ACTION & ADVENTURE;John Carpenter;01/01/1981;5/23/2016;100;MGM Home Entertainment;77;72708
m/1006872-exodus;Exodus;G;DRAMA;Otto Preminger;12/15/1960;01/04/2018;207;United Artists;69;4255
m/1006917-eyewitness;Eyewitness;R;HORROR;Peter Yates;2/13/1981;03/01/2017;103;Twentieth Century Fox Home Entertainment;38;1863
m/1007003-fahrenheit_451;Fahrenheit 451;NR;SCIENCE FICTION & FANTASY;FranÃ§ois Truffaut;11/02/1966;10/01/2014;112;Universal Pictures;72;25738
m/1007070-fan;The Fan;R;DRAMA;Edward Bianchi;5/15/1981;4/19/2016;95;Paramount Home Video;32;1132
m/1007073-fandango;Fandango;PG;COMEDY;Kevin Reynolds;1/25/1985;3/27/2016;91;Warner Home Video;78;5733
