rotten_tomatoes_link;movie_title;content_rating;genre;directors;original_release_date;streaming_release_date;runtime;production_company;audience_rating;audience_count
m/10003276-criminal;Criminal;R;DRAMA;Greggory Jacobs, Gregory Jacobs, Greg Jacobs;9/24/2004;4/27/2016;87;Warner Bros. Pictures;57;6711
m/1000334-adventures_of_mark_twain;The Adventures of Mark Twain;G;ACTION & ADVENTURE;Will Vinton;03/01/1985;02/04/2017;86;Eureka Entertainment Ltd;82;1046
m/1000355-adventures_of_robin_hood;The Adventures of Robin Hood;PG;ACTION & ADVENTURE;Michael Curtiz, William Keighley;5/14/1938;1/23/2014;102;Warner Bros.;89;33946
m/10003876-man_hunt;Man Hunt;NR;DRAMA;Fritz Lang;01/01/1941;03/01/2014;100;Twentieth Century Fox;75;554
m/10003925-dead_end;Dead End;R;COMEDY;Jean-Baptiste Andrea, Fabrice Canepa, Jean-Bapiste Andrea;9/26/2003;12/11/2018;83;LionsGate Entertainment;60;10373
m/10004050-bandwagon;Bandwagon;R;COMEDY;John Schultz;09/12/1997;;103;Avalanche Entertainment;91;386
m/10004069-whore;Whore;R;DRAMA;MarÃ­a LidÃ³n;4/16/2004;02/04/2014;77;Dolores Pictures LLC;63;914
m/10004209-tristan_and_isolde;Tristan & Isolde;PG-13;DRAMA;Kevin Reynolds;1/13/2006;11/25/2015;126;20th Century Fox;71;220956
m/10004226-wild_side;Wild Side;NR;DRAMA;SÃ©bastien Lifshitz;06/10/2005;10/25/2005;94;Wellspring;80;867
m/10004232-10004232-tale_of_two_pizzas;A Tale of Two Pizzas;PG;COMEDY;Vincent Sassone;11/07/2003;1/16/2018;82;;;
m/10004288-running_scared;Running Scared;R;ACTION & ADVENTURE;Wayne Kramer;2/24/2006;10/01/2008;121;New Line Cinema;79;135400
m/10004352-going_the_distance;Going the Distance;R;COMEDY;Mark Griffiths;8/20/2004;03/10/2017;93;SÃ©ville Pictures;61;13033
m/10004504-ultraviolet;Ultraviolet;PG-13;ACTION & ADVENTURE;Kurt Wimmer;03/03/2006;4/16/2012;88;Sony Pictures;30;279994
m/10004635-home_of_the_brave;Home of the Brave;R;ACTION & ADVENTURE;Paola di Florio;05/11/2004;04/03/2016;75;Emerging Pictures;48;866
m/10004659-arthur;Arthur and the Invisibles (Arthur and the Minimoys);PG;SCIENCE FICTION & FANTASY;Luc Besson;01/12/2007;08/10/2016;94;MGM;56;134483
m/10004684-malevolence;Malevolence;R;HORROR;Stevan Mena;09/10/2004;3/30/2017;90;Anchor Bay Entertainment;83;2622
m/10004697-eternal;Eternal;R;HORROR;Wilhelm Liebenberg, Federico Sanchez;8/26/2004;9/23/2016;108;Regent Releasing;39;1295
m/10004835-farewell_to_arms;A Farewell To Arms;NR;DRAMA;Charles Vidor, John Hudson, John Huston;12/14/1957;9/18/2012;150;Fox;37;1460
m/10004890-narrow_margin;The Narrow Margin;NR;DRAMA;Richard Fleischer;05/04/1952;8/20/2012;71;Warner Home Video;88;1135
m/10004925-matador;The Matador;R;ACTION & ADVENTURE;Bob Yari, Richard Shepard;1/27/2006;11/18/2016;97;The Weinstein Company;65;73701
